"","points","points_last","avg_age","club_transfer_ratio","manager_change","star_players","played_internationally","squad_size","foreigners","promotion"
"402",58,0,24.4,1.10575342465753,0,0,0,33,0.515151515151515,1
"403",40,0,25.8,0.851520572450805,0,0,0,30,0.3,1
"404",47,56,24.8,0.400425079702444,1,0,0,36,0.805555555555556,0
"405",56,42,24.3,0.977162629757785,1,0,0,36,0.833333333333333,0
"406",42,46,25.5,0.7601246105919,1,0,1,31,0.870967741935484,0
"407",46,47,25.9,0.678891923527117,1,0,0,29,0.862068965517241,0
"408",47,0,24.8,0.628489208633094,0,0,0,32,0.8125,1
"409",30,0,26.7,0.738154613466334,1,0,0,27,0.296296296296296,1
"410",70,64,22.7,1.2826780021254,0,0,0,31,0.516129032258065,0
"411",64,69,23.7,1.14048442906574,1,0,1,42,0.595238095238095,0
"412",69,72,23.4,3.76543888583471,0,0,1,36,0.583333333333333,0
"413",72,69,25.1,2.42918454935622,1,0,1,35,0.457142857142857,0
"414",69,62,24.2,0.462158273381295,0,0,1,49,0.489795918367347,0
"415",62,70,24.7,1.29015691868759,0,0,1,38,0.552631578947368,0
"416",70,51,23.3,1.9334085778781,0,0,0,41,0.48780487804878,0
"417",51,46,22.5,4.85290581162325,0,0,1,35,0.514285714285714,0
"418",46,60,23.7,2.22986904430203,1,0,1,34,0.588235294117647,0
"419",60,65,23.1,3.39554682383759,1,0,1,37,0.540540540540541,0
"420",65,52,24.5,2.26496350364964,0,0,0,30,0.5,0
"421",52,45,23.3,3.8206962327134,1,0,0,36,0.555555555555556,0
"422",45,50,24.1,2.93557748113755,1,0,0,31,0.548387096774194,0
"423",50,50,25.4,0.924430641821946,0,0,0,32,0.59375,0
"424",50,49,27.2,1.05720620842572,0,0,0,26,0.5,0
"425",49,53,24.3,1.29352645580845,1,0,0,34,0.5,0
"426",53,47,24.9,1.58356164383562,0,0,1,34,0.470588235294118,0
"427",47,44,25.9,0.844083291010665,1,0,0,34,0.5,0
"428",44,46,25.1,1.58587987355111,1,0,0,36,0.5,0
"429",46,61,24.3,0.797853309481216,1,0,0,33,0.393939393939394,0
"430",61,62,23.2,1.36867469879518,0,0,0,35,0.314285714285714,0
"431",62,45,24.4,1.59378036929057,0,0,0,28,0.357142857142857,0
"432",45,59,23,1.74563591022444,1,0,0,36,0.277777777777778,0
"433",59,0,22.6,2.57918552036199,1,0,0,32,0.3125,0
"434",45,0,26.4,1.50903294367694,1,0,0,39,0.871794871794872,1
"435",28,0,23.1,0.584806810740013,0,0,0,41,0.48780487804878,1
"436",24,0,24.3,0.33972602739726,0,0,0,31,0.483870967741935,1
"437",43,44,25.4,0.775132837407014,0,0,0,35,0.6,0
"438",44,36,25.5,0.585467128027682,1,0,0,34,0.588235294117647,0
"439",36,49,26.6,0.489279824079164,1,0,0,30,0.666666666666667,0
"440",49,47,25.7,0.165821303160359,1,0,0,29,0.689655172413793,0
"441",47,47,25,0.44431654676259,0,0,0,36,0.611111111111111,0
"442",47,0,24.3,0.671041369472183,1,0,0,37,0.621621621621622,1
"443",32,0,24.6,0.70060120240481,0,0,0,30,0.7,1
"444",30,34,25.3,0.94963503649635,1,0,0,31,0.451612903225806,0
"445",34,0,26.1,1.28469241773963,0,0,0,29,0.551724137931034,1
"446",26,0,25.7,1.49171842650104,0,0,0,27,0.444444444444444,1
"447",62,47,23.2,0.952178533475027,1,0,0,50,0.52,0
"448",47,40,24.8,0.827128027681661,0,0,0,36,0.583333333333333,0
"449",40,46,25.3,0.747663551401869,0,0,0,42,0.5,0
"450",46,0,25.1,0.792430745220445,0,0,0,34,0.5,1
"451",33,35,25.1,0.767475035663338,1,0,0,39,0.58974358974359,0
"452",35,51,23.8,1.03837471783296,0,0,0,35,0.542857142857143,0
"453",51,49,24.3,0.545090180360721,1,0,0,26,0.538461538461538,0
"454",49,41,25,1.10365004179437,0,0,0,33,0.393939393939394,0
"455",41,55,25.1,3.88801571709234,0,0,1,33,0.393939393939394,0
"456",55,0,25.3,1.33941605839416,1,0,0,26,0.423076923076923,1
"457",42,53,25.8,0.0351966873706004,1,0,0,34,0.470588235294118,0
"458",53,42,27.3,0.874944567627495,1,0,0,30,0.633333333333333,0
"459",42,55,25.1,0.40969553650606,0,0,0,39,0.58974358974359,0
"460",55,57,26.2,1.41041095890411,0,0,1,31,0.483870967741935,0
"461",57,56,25.6,0.957846622651092,0,0,0,36,0.416666666666667,0
"462",56,42,25.1,1.12855637513172,0,0,0,36,0.472222222222222,0
"463",42,51,26.5,2.00715563506261,0,0,0,36,0.5,0
"464",51,50,25.8,0.457831325301205,0,0,0,35,0.485714285714286,0
"465",50,52,26.6,0.987366375121477,1,0,0,27,0.259259259259259,0
"466",52,0,26.4,1.47630922693267,0,0,0,27,0.148148148148148,1
"467",36,43,25,0.349200156067109,0,0,0,35,0.8,0
"468",43,42,25.4,0.605467625899281,0,0,0,29,0.758620689655172,0
"469",42,36,24,0.732667617689016,0,0,0,35,0.714285714285714,0
"470",36,45,25.4,0.88431151241535,1,0,0,35,0.771428571428571,0
"471",45,40,25.7,0.82124248496994,0,0,0,25,0.72,0
"472",40,38,25.5,0.424073558094177,1,0,0,29,0.655172413793103,0
"473",38,51,26,1.42763588736084,1,0,0,29,0.620689655172414,0
"474",51,0,27.4,0.978102189781022,0,0,0,28,0.642857142857143,1
"475",33,42,25.4,0.768219178082192,1,0,0,34,0.647058823529412,0
"476",42,44,25.3,1.44641950228542,0,0,0,31,0.612903225806452,0
"477",44,56,25.6,0.426765015806112,0,0,0,32,0.5625,0
"478",56,41,25.6,0.400715563506261,0,0,0,26,0.538461538461538,0
"479",41,56,26,0.0748192771084337,0,0,0,30,0.433333333333333,0
"480",56,65,25.4,0.443148688046647,0,0,0,30,0.4,0
"481",65,54,24.8,0.24788029925187,0,0,0,26,0.307692307692308,0
"482",54,0,24.1,0.506787330316742,0,0,0,30,0.333333333333333,0
"483",25,40,24.1,0.589352517985612,1,0,0,35,0.657142857142857,0
"484",40,38,23.7,0.976319543509272,0,0,0,42,0.547619047619048,0
"485",38,0,24.1,0.932844243792325,0,0,0,37,0.513513513513513,1
"486",33,0,26.2,0.973882762623331,0,0,0,34,0.647058823529412,1
